ID,designation_header,strain_number_header,is_type_strain_header,species,domain,phylum,Oxygen tolerance,Genome seq. accession number,Genome Sequence associated NCBI tax ID
,,,,,,,,646311901,591001
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,Acidaminococcus intestini,Bacteria,Bacillota,anaerobe,1120921.3,1120921
,,,,,,,obligate anaerobe,2524614855,1120921
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,Acidibrevibacterium fodinaquatile,Bacteria,Pseudomonadota,obligate aerobe,2841042143,1969806
6149,V6,"DSM 14174, JCM 32253",1,Acidihalobacter aeolianus,Bacteria,Pseudomonadota,aerobe,160660.18,160660
,,,,,,,,160660.9,160660
24820,V8,"DSM 14175, JCM 32254",1,Acidihalobacter ferrooxydans,Bacteria,Pseudomonadota,aerobe,1765967.4,1765967
,,,,,,,,2751185721,1765967
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,Acidimangrovimonas sediminis,Bacteria,Pseudomonadota,aerobe,2833082749,2056283
,,,,,,,obligate aerobe,,
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,Acidipropionibacterium acidipropionici,Bacteria,Actinomycetota,anaerobe,1111734.3,1111734
,,,,,,,facultative anaerobe,2513237117,1111734
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402, CIP 53.164",0,Acidipropionibacterium acidipropionici,Bacteria,Actinomycetota,facultative anaerobe,1171373.8,1171373
,,,,,,,obligate anaerobe,2518285597,1171373
,,,,,,,,2521172602,1171373
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,Acidipropionibacterium jensenii,Bacteria,Actinomycetota,anaerobe,1122997.3,1122997
,,,,,,,facultative anaerobe,2523533551,1122997
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,Acidipropionibacterium thoenii,Bacteria,Actinomycetota,anaerobe,1122998.3,1122998
,,,,,,,microaerophile,2523231069,1122998
,,,,,,,obligate aerobe,,
158421,JS278,"DSM 106790, VTT E-113202",1,Acidipropionibacterium virtanenii,Bacteria,Actinomycetota,aerobe,2834914592,2057246
,,,,,,,anaerobe,,
,,,,,,,facultative anaerobe,,
67,HS-AP3,"DSM 16009, JCM 10600",1,Acidisphaera rubrifaciens,Bacteria,Pseudomonadota,aerobe,1231350.12,1231350
,,,,,,,obligate aerobe,,
160797,MG,"DSM 107098, JCM 33084",1,Acidithiobacillus ferrianus,Bacteria,Pseudomonadota,facultative anaerobe,2895580592,2678518
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,Acidithiobacillus ferridurans,Bacteria,Pseudomonadota,facultative anaerobe,1232575.2,1232575
,,,,,,,,1232575.4,1232575
,,,,,,,,1232575.7,1232575
,,,,,,,,2824077352,920
132357,M20,"DSM 100412, JCM 30830",1,Acidithiobacillus ferriphilus,Bacteria,Pseudomonadota,facultative anaerobe,1689834.8,1689834
159192,CJ-2,"DSM 105150, KCTC 4683",1,Acidithiobacillus sulfuriphilus,Bacteria,Pseudomonadota,aerobe,1867749.3,1867749
,,,,,,,obligate aerobe,2840828123,1867749
133033,PMMR2,"DSM 27394, LMG 28340",1,Acidobacterium ailaaui,Bacteria,Acidobacteriota,aerobe,2558860986,1382359
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,Acidovorax anthurii,Bacteria,Pseudomonadota,aerobe,2636415976,78229
,,,,,,,obligate aerobe,78229.3,78229
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,Acidovorax avenae,Bacteria,Pseudomonadota,obligate aerobe,643561.4,643561
,,,,,,,,650716004,643561
2903,R-24608,"DSM 19327, LMG 24103",1,Acidovorax caeni,Bacteria,Pseudomonadota,facultative aerobe,2634166357,343013
,,,,,,,,2740892283,343013
,,,,,,,,343013.6,343013
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,Acidovorax cattleyae,Bacteria,Pseudomonadota,obligate aerobe,2634166355,80868
,,,,,,,,80868.3,80868
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,Acidovorax defluvii,Bacteria,Pseudomonadota,aerobe,2756170235,86669
,,,,,,,facultative anaerobe,86669.4,86669
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,Acidovorax kalamii,Bacteria,Pseudomonadota,aerobe,2839292028,2004485
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,Acidovorax konjaci,Bacteria,Pseudomonadota,obligate aerobe,2634166315,32040
,,,,,,,,32040.4,32040
135927,,"CIP 106433, CCUG 15836, LMG 1806, NCPPB 1392, ATCC 19882, ICMP 3960, CFBP 2426",0,Acidovorax oryzae,Bacteria,Pseudomonadota,aerobe,1408420.3,1408420
,,,,,,,obligate aerobe,2563366540,1408420
2905,N35,"DSM 23535, LMG 25767",1,Acidovorax radicis,Bacteria,Pseudomonadota,aerobe,2547132374,999386
,,,,,,,obligate aerobe,999386.3,999386
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,Acidovorax soli,Bacteria,Pseudomonadota,aerobe,2675903230,592050
,,,,,,,,592050.4,592050
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,Acidovorax temperans,Bacteria,Pseudomonadota,obligate aerobe,2818991434,80878
,,,,,,,,80878.16,80878
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,Acidovorax valerianellae,Bacteria,Pseudomonadota,obligate aerobe,187868.3,187868
,,,,,,,,2615840716,187868
23868,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1,Acidovorax wautersii,Bacteria,Pseudomonadota,aerobe,1177982.3,1177982
,,,,,,,,2634166330,1177982
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,Acinetobacter baumannii,Bacteria,Pseudomonadota,obligate aerobe,1236532.3,575584
,,,,,,,,2534682196,575584
,,,,,,,,2585427930,575584
,,,,,,,,2609460113,575584
,,,,,,,,2700989282,470
,,,,,,,,2916668946,575584
,,,,,,,,470.10973,470
,,,,,,,,470.11567,470
,,,,,,,,470.11738,470
,,,,,,,,470.11739,470
8095,,"DSM 30011, ATCC 23220, NCIMB 8208, NRRL B-551, CIP 68.38, LMG 1049, NCDO 709",0,Acinetobacter baumannii,Bacteria,Pseudomonadota,obligate aerobe,470.3048,470
132687,"Piéchaud 5377, Piéchaud strain Rochefort","DSM 105126, ATCC 17978, CIP 53.77, LMG 1025, NCDC KC755, Bouvet and Grimont 8",0,Acinetobacter baumannii,Bacteria,Pseudomonadota,aerobe,2671180557,470
,,,,,,,obligate aerobe,2860756204,400667
,,,,,,,,400667.121,400667
,,,,,,,,400667.143,400667
,,,,,,,,400667.7,400667
,,,,,,,,400667.79,400667
,,,,,,,,400667.8,400667
,,,,,,,,400667.91,400667
,,,,,,,,400667.92,400667
,,,,,,,,400667.93,400667
134783,,"CIP 110436, NIPH 528, CCM 7290, LMG 10541, RUH 134, CCUG 60612",0,Acinetobacter baumannii,Bacteria,Pseudomonadota,aerobe,1217636.3,1217636
,,,,,,,obligate aerobe,2529293010,1217636
135661,,"CIP 70.10, ATCC 15151",0,Acinetobacter baumannii,Bacteria,Pseudomonadota,aerobe,2684623147,470
,,,,,,,obligate aerobe,470.1738,470
,,,,,,,,470.4461,470
138562,7788,"CIP 70.32, ATCC 17961",0,Acinetobacter baumannii,Bacteria,Pseudomonadota,aerobe,470.12449,470
,,,,,,,obligate aerobe,470.2202,470
139048,,"CIP 70.22, ATCC 17945",0,Acinetobacter baumannii,Bacteria,Pseudomonadota,aerobe,470.3102,470
,,,,,,,obligate aerobe,,
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,Acinetobacter baylyi,Bacteria,Pseudomonadota,aerobe,1120924.3,1120924
,,,,,,,facultative anaerobe,1120924.5,1120924
,,,,,,,obligate aerobe,2556921654,1120924
,,,,,,,,2565956683,1120924
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,Acinetobacter beijerinckii,Bacteria,Pseudomonadota,aerobe,1217648.3,1217648
,,,,,,,obligate aerobe,2565956701,1217648
,,,,,,,,262668.4,262668
,,,,,,,,2671180604,262668
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,Acinetobacter bereziniae,Bacteria,Pseudomonadota,aerobe,1217650.3,981324
,,,,,,,facultative anaerobe,2547132297,981324
,,,,,,,obligate aerobe,2565956640,981324
,,,,,,,,981324.3,981324
130455,,"DSM 100419, JCM 18977, KCTC 42081, LMG 28467, NCCP 644, CCUG 69707",0,Acinetobacter bohemicus,Bacteria,Pseudomonadota,aerobe,1435036.7,1435036
,,,,,,,obligate aerobe,,
