sample name	collection date	geographic location (latitude and longitude)	elevation, meters	depth, meters	soil horizon	temperature	collection time, GMT	sample collection device	pH	sample linkage	mean annual precipitation	mean annual temperature	geographic location (country and/or sea,region)	broad-scale environmental context	local environmental context	ecosystem_type	ecosystem_subtype	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Analysis Project Type	GOLD Study ID	Genome Size  * assembled	Gene Count  * assembled	MetaBAT Bin Count  * assembled	dnaSampleID
CPER_002-M-20230628-COMP	2023-06-28	40.810934 -104.729248	1651.1	0 - 0.31	M horizon	23.46666667	15:53:00	auger	6.646104243	composite: CPER_002-M-39-20230628,CPER_002-M-23-20230628,CPER_002-M-41-20230628	344 mm	8.6 Cel	USA: CO, Weld County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_002-M-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078706	Metagenome Analysis	Gs0166454	435911403	764482	1	CPER_002-M-20230628-COMP-DNA1
CPER_003-M-20230628-COMP	2023-06-28	40.818451 -104.707164	1623.8	0 - 0.31	M horizon	25.3	17:28:00	auger	7.470721906	composite: CPER_003-M-41-20230628,CPER_003-M-21-20230628,CPER_003-M-39-20230628	344 mm	8.6 Cel	USA: CO, Weld County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_003-M-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078707	Metagenome Analysis	Gs0166454	190252390	352754	0	CPER_003-M-20230628-COMP-DNA1
CPER_004-M-20230626-COMP	2023-06-26	40.81275 -104.696873	1622.7	0 - 0.315	M horizon	21.8	16:45:00	auger	7.599965887	composite: CPER_004-M-41-20230626,CPER_004-M-21-20230626,CPER_004-M-23-20230626	344 mm	8.6 Cel	USA: CO, Weld County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_004-M-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078708	Metagenome Analysis	Gs0166454	435089630	776460	2	CPER_004-M-20230626-COMP-DNA1
CPER_005-M-20230626-COMP	2023-06-26	40.853093 -104.728006	1664.4	0 - 0.31	M horizon	30.13333333	20:31:00	auger	7.097506369	composite: CPER_005-M-41-20230626,CPER_005-M-21-20230626,CPER_005-M-23-20230626	344 mm	8.6 Cel	USA: CO, Weld County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_005-M-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078709	Metagenome Analysis	Gs0166454	642935992	1138776	7	CPER_005-M-20230626-COMP-DNA1
CPER_006-M-20230628-COMP	2023-06-28	40.814769 -104.748078	1650	0 - 0.32	M horizon	21.6	15:51:00	auger	6.130469522	composite: CPER_006-M-23-20230628,CPER_006-M-39-20230628,CPER_006-M-21-20230628	344 mm	8.6 Cel	USA: CO, Weld County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_006-M-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078710	Metagenome Analysis	Gs0166454	988526590	1702205	10	CPER_006-M-20230628-COMP-DNA1
CPER_045-M-20230628-COMP	2023-06-28	40.817292 -104.750288	1652	0 - 0.31	M horizon	23.6	17:36:00	auger	6.436771523	composite: CPER_045-M-41-20230628,CPER_045-M-39-20230628,CPER_045-M-23-20230628	344 mm	8.6 Cel	USA: CO, Weld County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_045-M-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078711	Metagenome Analysis	Gs0166454	476161722	842678	2	CPER_045-M-20230628-COMP-DNA1
CPER_046-M-20230626-COMP	2023-06-26	40.817297 -104.747096	1652.1	0 - 0.31	M horizon	24.1	18:54:00	auger	6.392653009	composite: CPER_046-M-21-20230626,CPER_046-M-23-20230626,CPER_046-M-41-20230626	344 mm	8.6 Cel	USA: CO, Weld County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_046-M-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078712	Metagenome Analysis	Gs0166454	349908767	640805	1	CPER_046-M-20230626-COMP-DNA1
CPER_047-M-20230626-COMP	2023-06-26	40.818371 -104.746715	1649.3	0 - 0.32	M horizon	24.8	17:27:00	auger	6.734501143	composite: CPER_047-M-21-20230626,CPER_047-M-39-20230626,CPER_047-M-41-20230626	344 mm	8.6 Cel	USA: CO, Weld County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_047-M-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300076620	Metagenome Analysis	Gs0166454	668428652	1157856	7	CPER_047-M-20230626-COMP-DNA1
CPER_048-M-20230626-COMP	2023-06-26	40.818931 -104.748858	1652.1	0 - 0.31	M horizon	20.23333333	16:49:00	auger	6.696389084	composite: CPER_048-M-23-20230626,CPER_048-M-41-20230626,CPER_048-M-39-20230626	344 mm	8.6 Cel	USA: CO, Weld County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_048-M-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079387	Metagenome Analysis	Gs0166454	1299311713	2160841	13	CPER_048-M-20230626-COMP-DNA1
DEJU_001-M-20230628-COMP	2023-06-29	63.89244 -145.769965	494.9	0 - 0.29	M horizon	11.6	02:48:00	corer	5.061131893	composite: DEJU_001-M-23-20230628,DEJU_001-M-21-20230628,DEJU_001-M-41-20230628	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	tundra biome [ENVO:01000180]	area of scrub [ENVO:01000869]	Soil	Shrubland	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_001-M-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077718	Metagenome Analysis	Gs0166454	172542946	317602	0	DEJU_001-M-20230628-COMP-DNA1
DEJU_002-M-20230629-COMP	2023-06-29	63.879623 -145.720429	515.1	0 - 0.338	M horizon	9.633333333	17:47:00	corer	5.256844454	composite: DEJU_002-M-21-20230629,DEJU_002-M-23-20230629,DEJU_002-M-39-20230629	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	tundra biome [ENVO:01000180]	area of scrub [ENVO:01000869]	Soil	Shrubland	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_002-M-20230629-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077816	Metagenome Analysis	Gs0166454	2417515639	4046042	21	DEJU_002-M-20230629-COMP-DNA1
DEJU_002-O-20230629-COMP	2023-06-29	63.879623 -145.720429	515.1	0 - 0.075	O horizon	8.2	16:39:00	brownie cutter	5.29	composite: DEJU_002-O-39-20230629	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	tundra biome [ENVO:01000180]	area of scrub [ENVO:01000869]	Soil	Shrubland	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_002-O-20230629-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077817	Metagenome Analysis	Gs0166454	2233140722	3381359	25	DEJU_002-O-20230629-COMP-DNA1
DEJU_006-M-20230628-COMP	2023-06-29	63.835171 -145.748058	544.8	0.074 - 0.309	M horizon	8.333333333	01:21:00	corer	4.3442152	composite: DEJU_006-M-39-20230628,DEJU_006-M-41-20230628,DEJU_006-M-21-20230628	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_006-M-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078417	Metagenome Analysis	Gs0166454	1873100984	3014874	16	DEJU_006-M-20230628-COMP-DNA1
DEJU_006-O-20230628-COMP	2023-06-29	63.835171 -145.748058	544.8	0 - 0.101	O horizon	8.333333333	01:21:00	brownie cutter	4.514522832	composite: DEJU_006-O-39-20230628,DEJU_006-O-41-20230628,DEJU_006-O-21-20230628	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_006-O-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077818	Metagenome Analysis	Gs0166454	1589958386	2323339	25	DEJU_006-O-20230628-COMP-DNA1
DEJU_009-M-20230628-COMP	2023-06-28	63.853315 -145.760668	567.4	0.058 - 0.297	M horizon	5.266666667	21:15:00	corer	4.79987595	composite: DEJU_009-M-21-20230628,DEJU_009-M-39-20230628,DEJU_009-M-41-20230628	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_009-M-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077819	Metagenome Analysis	Gs0166454	1931511632	3292012	11	DEJU_009-M-20230628-COMP-DNA1
DEJU_009-O-20230628-COMP	2023-06-28	63.853315 -145.760668	567.4	0 - 0.123	O horizon	5.266666667	20:37:00	brownie cutter	4.529535498	composite: DEJU_009-O-39-20230628,DEJU_009-O-21-20230628,DEJU_009-O-41-20230628	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_009-O-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077820	Metagenome Analysis	Gs0166454	3134192561	4602174	21	DEJU_009-O-20230628-COMP-DNA1
DEJU_014-M-20230628-COMP	2023-06-28	63.831139 -145.747612	544.3	0.036 - 0.299	M horizon	6.766666667	20:43:00	corer	5.692754751	composite: DEJU_014-M-21-20230628,DEJU_014-M-23-20230628,DEJU_014-M-39-20230628	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_014-M-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077821	Metagenome Analysis	Gs0166454	1580379404	2650289	16	DEJU_014-M-20230628-COMP-DNA1
DEJU_014-O-20230628-COMP	2023-06-28	63.831139 -145.747612	544.3	0 - 0.104	O horizon	6.766666667	19:32:00	brownie cutter	5.027019287	composite: DEJU_014-O-23-20230628,DEJU_014-O-39-20230628,DEJU_014-O-21-20230628	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_014-O-20230628-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077905	Metagenome Analysis	Gs0166454	1553584829	2689930	3	DEJU_014-O-20230628-COMP-DNA1
DEJU_015-M-20230629-COMP	2023-06-29	63.87415 -145.741425	522.1	0.083 - 0.313	M horizon	7.1	22:29:00	corer	5.448587393	composite: DEJU_015-M-23-20230629,DEJU_015-M-41-20230629	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	forest biome [ENVO:01000174]	area of woody wetland [ENVO:01000893]	Soil	Wetlands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_015-M-20230629-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077991	Metagenome Analysis	Gs0166454	1746848274	2933716	16	DEJU_015-M-20230629-COMP-DNA1
DEJU_015-O-20230629-COMP	2023-06-29	63.87415 -145.741425	522.1	0 - 0.104	O horizon	7.166666667	21:13:00	brownie cutter	4.829174451	composite: DEJU_015-O-21-20230629,DEJU_015-O-41-20230629,DEJU_015-O-23-20230629	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	forest biome [ENVO:01000174]	area of woody wetland [ENVO:01000893]	Soil	Wetlands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEJU_045-M-20230626-COMP	2023-06-26	63.880889 -145.742977	509.1	0 - 0.312	M horizon	8.166666667	17:32:00	corer	5.255390024	composite: DEJU_045-M-21-20230626,DEJU_045-M-23-20230626,DEJU_045-M-41-20230626	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	tundra biome [ENVO:01000180]	area of scrub [ENVO:01000869]	Soil	Shrubland	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_045-M-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077906	Metagenome Analysis	Gs0166454	2795656605	4669976	17	DEJU_045-M-20230626-COMP-DNA1
DEJU_045-O-20230626-COMP	2023-06-26	63.880889 -145.742977	509.1	0 - 0.058	O horizon	7.5	17:32:00	brownie cutter	4.780740523	composite: DEJU_045-O-21-20230626,DEJU_045-O-41-20230626	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	tundra biome [ENVO:01000180]	area of scrub [ENVO:01000869]	Soil	Shrubland	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_045-O-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077907	Metagenome Analysis	Gs0166454	2212357515	3370199	27	DEJU_045-O-20230626-COMP-DNA1
DEJU_046-M-20230626-COMP	2023-06-26	63.877756 -145.753497	511.7	0.045 - 0.121	M horizon	6.966666667	21:39:00	brownie cutter	4.401344207	composite: DEJU_046-M-41-20230626,DEJU_046-M-39-20230626,DEJU_046-M-21-20230626	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_046-M-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078160	Metagenome Analysis	Gs0166454	2360493011	3741253	8	DEJU_046-M-20230626-COMP-DNA1
DEJU_046-O-20230626-COMP	2023-06-26	63.877756 -145.753497	511.7	0 - 0.06	O horizon	6.966666667	23:44:00	brownie cutter	4.204840683	composite: DEJU_046-O-21-20230626,DEJU_046-O-41-20230626,DEJU_046-O-39-20230626	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_046-O-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077992	Metagenome Analysis	Gs0166454	2663004324	4138496	14	DEJU_046-O-20230626-COMP-DNA1
DEJU_047-M-20230626-COMP	2023-06-26	63.88224 -145.739248	505.2	0.086 - 0.307	M horizon	3.566666667	23:11:00	corer	5.304240118	composite: DEJU_047-M-39-20230626,DEJU_047-M-21-20230626,DEJU_047-M-41-20230626	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_047-M-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078045	Metagenome Analysis	Gs0166454	2808667843	4811701	21	DEJU_047-M-20230626-COMP-DNA1
DEJU_047-O-20230626-COMP	2023-06-26	63.88224 -145.739248	505.2	0 - 0.11	O horizon	3.566666667	21:48:00	brownie cutter	4.139535088	composite: DEJU_047-O-21-20230626,DEJU_047-O-41-20230626,DEJU_047-O-39-20230626	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_047-O-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078364	Metagenome Analysis	Gs0166454	2281742356	3824894	12	DEJU_047-O-20230626-COMP-DNA1
DEJU_048-M-20230626-COMP	2023-06-26	63.881243 -145.753351	506.8	0.015 - 0.268	M horizon	6.2	17:22:00	corer	5.077572564	composite: DEJU_048-M-23-20230626,DEJU_048-M-21-20230626,DEJU_048-M-41-20230626	305 mm	-3 Cel	USA: AK, Southeast Fairbanks County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_048-M-20230626-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078358	Metagenome Analysis	Gs0166454	1777046062	2846998	16	DEJU_048-M-20230626-COMP-DNA1
