"","accession","checkm2_completeness","checkm2_contamination","checkm_completeness","checkm_contamination","gc_percentage","genome_size","gtdb_representative","gtdb_taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species","ncbi_assembly_level","ncbi_country","ncbi_genbank_assembly_accession","ncbi_genome_category","ncbi_isolation_source","ncbi_refseq_category","ncbi_species_taxid","ncbi_taxid","Oxygen.tolerance","Oxygen2"
"11","RS_GCF_000770795.1",99.99,0.17,99.66,0.69,67.2447155300839,3274406,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Noviluteimonas;Noviluteimonas dokdonensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Noviluteimonas","Noviluteimonas dokdonensis","Contig","South Korea: Dokdo Island; East Sea (Sea of Japan)","GCA_000770795.1","none","soil","representative genome",414050,1300345,"aerobe","aerobic"
"12","RS_GCF_000426505.1",98.62,0,100,0.87,60.5354585933085,4626718,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Thalassobaculales;Thalassobaculaceae;Nisaea;Nisaea denitrificans","Bacteria","Pseudomonadota","Alphaproteobacteria","Thalassobaculales","Thalassobaculaceae","Nisaea","Nisaea denitrificans","Scaffold","Mediterranean Sea","GCA_000426505.1","none","none","representative genome",390877,1122607,"aerobe","aerobic"
"13","RS_GCF_028401405.1",99.91,0.08,99.14,0.85,72.1501603907564,8936924,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces heilongjiangensis","Bacteria","Actinomycetota","Actinomycetes","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces heilongjiangensis","Contig","China: Hulin; Heilongjiang province","GCA_028401405.1","none","root surface","representative genome",945052,945052,"aerobe","aerobic"
"14","RS_GCF_009688945.1",97.05,7.54,98.71,3.23,56.6279775248378,7324708,TRUE,"Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina;Desulfosarcina alkanivorans","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfosarcina","Desulfosarcina alkanivorans","Complete Genome","Kuwait:Shuaiba","GCA_009688945.1","none","shallow marine sediment","representative genome",571177,571177,"anaerobe","anaerobic"
"15","RS_GCF_002259585.1",99.5,0.1,92.43,1.16,47.3327644149597,1741326,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bombiscardovia;Bombiscardovia coagulans","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bombiscardovia","Bombiscardovia coagulans","Contig","Czech Republic","GCA_002259585.1","none","Digestive tract","representative genome",686666,686666,"anaerobe","anaerobic"
"16","RS_GCF_000014445.1",99.99,1.23,100,0.53,37.6686066761957,2075763,TRUE,"Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc mesenteroides","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc mesenteroides","Complete Genome","none","GCA_000014445.1","none","none","representative genome",1245,203120,"anaerobe","anaerobic"
"17","RS_GCF_004354085.1",99.99,0.17,100,1.46,59.8687801938272,4193411,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Halieaceae;Halioglobus;Halioglobus unicus","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Halieaceae","Halioglobus","Halioglobus unicus","Scaffold","South Korea: Gangwha Island; Incheon","GCA_004354085.1","none","tidal mudflat","representative genome",2547392,2547392,"aerobe","aerobic"
"18","RS_GCF_002157205.1",99.99,0,98.68,0.22,59.047334672235,3667185,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Kushneria;Kushneria marisflavi","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Kushneria","Kushneria marisflavi","Complete Genome","South Korea: Boryung","GCA_002157205.1","none","Yellow Sea water","representative genome",157779,157779,"obligate aerobe","aerobic"
"19","RS_GCF_005885605.1",100,0.78,98.77,1.84,38.6762304958413,3722219,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Colwellia;Colwellia ponticola","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Colwellia","Colwellia ponticola","Contig","South Korea: Oido","GCA_005885605.1","none","seawater","representative genome",2304625,2304625,"aerobe","aerobic"
"20","RS_GCF_016863575.1",100,0.13,100,1.32,71.0180803688161,6386706,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Micromonosporaceae;Micromonospora;Micromonospora sediminimaris","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Micromonosporaceae","Micromonospora","Micromonospora sediminimaris","Contig","China:The South China Sea","GCA_016863575.1","none","Deep marine sediment","representative genome",547162,547162,"aerobe","aerobic"
"21","RS_GCF_014196715.1",99.98,0.01,97.61,0.48,40.3278334424054,5444802,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter zeae","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter zeae","Scaffold","none","GCA_014196715.1","none","none","na",1737356,1737356,"aerobe","aerobic"
"22","RS_GCF_000382345.1",100,2.31,99.85,1.48,66.2618693020371,6594487,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Telluria;Telluria niastensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Telluria","Telluria niastensis","Scaffold","South Korea","GCA_000382345.1","none","none","representative genome",544911,1122215,"aerobe","aerobic"
"23","RS_GCF_000422505.1",100,1.25,99.73,0.05,48.5766938513642,6760575,TRUE,"Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus_D;Paenibacillus_D pinihumi","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus_D","Paenibacillus_D pinihumi","Scaffold","South Korea","GCA_000422505.1","none","none","representative genome",669462,1122924,"aerobe","aerobic"
"24","RS_GCF_002356335.1",100,0.2,99.33,0.36,63.9523194083074,4994485,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium stephanolepidis","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium stephanolepidis","Complete Genome","Japan:Ehime","GCA_002356335.1","none","none","representative genome",1520670,1520670,"aerobe","aerobic"
"25","RS_GCF_000186245.1",100,0.02,99.18,0.82,53.9119158039009,2101285,TRUE,"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Nitratifractor;Nitratifractor salsuginis","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Nitratifractor","Nitratifractor salsuginis","Complete Genome","Japan","GCA_000186245.1","none","deep-sea hydrothermal vent chimney from the Iheya North hydrothermal field in the Mid-Okinawa Trough","representative genome",269261,749222,"anaerobe","anaerobic"
"26","RS_GCF_900109575.1",100,4.17,100,3.81,38.942339319539,6780495,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Olivibacter;Olivibacter domesticus","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Olivibacter","Olivibacter domesticus","Scaffold","none","GCA_900109575.1","none","none","representative genome",407022,407022,"aerobe","aerobic"
"27","RS_GCF_000423845.1",100,0.93,99.17,0.62,37.0999146662279,1729593,TRUE,"Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfobacterium;Thermodesulfobacterium hveragerdense","Bacteria","Desulfobacterota","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermodesulfobacterium","Thermodesulfobacterium hveragerdense","Scaffold","Iceland","GCA_000423845.1","none","none","representative genome",53424,1123372,"anaerobe","anaerobic"
"28","RS_GCF_003399445.1",99.54,0.04,97.03,0.4,59.339516695578,3400641,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Parvularculaceae;Parvularcula;Parvularcula marina","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Parvularculaceae","Parvularcula","Parvularcula marina","Scaffold","China: South China Sea","GCA_003399445.1","none","seawater","representative genome",2292771,2292771,"aerobe","aerobic"
"29","RS_GCF_017876535.1",99.82,0.78,99.54,2.33,64.2182227970287,4807802,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Paeniglutamicibacter;Paeniglutamicibacter kerguelensis","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Micrococcaceae","Paeniglutamicibacter","Paeniglutamicibacter kerguelensis","Contig","Antarctica","GCA_017876535.1","none","none","representative genome",254788,254788,"aerobe","aerobic"
"30","RS_GCF_002807055.1",99.99,0.66,98.35,1.52,34.3101287598276,3519809,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Confluentibacter;Confluentibacter citreus","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Confluentibacter","Confluentibacter citreus","Contig","China: Xinjiang; Sayram Lake","GCA_002807055.1","none","sediment","representative genome",2007307,2007307,"aerobe","aerobic"
"31","RS_GCF_014196125.1",99.74,0.01,100,0.65,67.0350562132625,3409076,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas mediterranea","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas mediterranea","Scaffold","none","GCA_014196125.1","none","none","representative genome",74329,74329,"aerobe","aerobic"
"32","RS_GCF_001676655.1",100,0.14,98.77,0.37,55.7471204427903,2492918,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Perlucidibaca;Perlucidibaca aquatica","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Perlucidibaca","Perlucidibaca aquatica","Contig","South Korea: Samcheok","GCA_001676655.1","none","freshwater","representative genome",1852776,1852776,"aerobe","aerobic"
"33","RS_GCF_003350405.1",100,0.42,100,0.54,64.3837272837415,4176944,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconacetobacter;Gluconacetobacter liquefaciens","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter liquefaciens","Scaffold","none","GCA_003350405.1","none","none","representative genome",89584,89584,"aerobe","aerobic"
"34","RS_GCF_000425585.1",99.99,0.03,99.01,0,48.0832507830973,4686152,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas ferruginea","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","Terrimonas ferruginea","Scaffold","none","GCA_000425585.1","none","none","representative genome",249,1123356,"obligate aerobe","aerobic"
"35","RS_GCF_000196275.1",100,0.01,99.58,0,66.4719956809589,3247018,TRUE,"Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus geothermalis","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus geothermalis","Complete Genome","none","GCA_000196275.1","none","none","representative genome",68909,319795,"obligate aerobe","aerobic"
"36","RS_GCF_000341105.1",99.44,0.22,99.73,0.55,74.8430564594429,6909969,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Nocardiopsis_A;Nocardiopsis_A potens","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Nocardiopsis_A","Nocardiopsis_A potens","Contig","none","GCA_000341105.1","none","household dustbin","representative genome",1246458,570268,"aerobe","aerobic"
"37","RS_GCF_000526415.1",99.39,0.5,97.58,0,65.7737880432949,4475263,TRUE,"Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Kallotenuaceae;Kallotenue;Kallotenue papyrolyticum","Bacteria","Chloroflexota","Chloroflexia","Chloroflexales","Kallotenuaceae","Kallotenue","Kallotenue papyrolyticum","Contig","none","GCA_000526415.1","none","not provided; submitted under MIGS 2.1","representative genome",1325125,1325125,"aerobe","aerobic"
"38","RS_GCF_007991755.1",100,0.08,100,0,74.4051568939059,4064307,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Cellulomonadaceae;Pengzhenrongella;Pengzhenrongella aerilata","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Cellulomonadaceae","Pengzhenrongella","Pengzhenrongella aerilata","Contig","none","GCA_007991755.1","none","none","representative genome",515326,515326,"aerobe","aerobic"
"39","RS_GCF_900104045.1",98.6,0.07,98.81,0,32.4722377726239,2100696,TRUE,"Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfonauticaceae;Desulfonauticus;Desulfonauticus submarinus","Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfonauticaceae","Desulfonauticus","Desulfonauticus submarinus","Contig","none","GCA_900104045.1","none","none","representative genome",206665,206665,"anaerobe","anaerobic"
"40","RS_GCF_003286915.1",99.27,0.54,99.69,0.87,43.4753542319998,6542746,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ohtaekwangia;Ohtaekwangia flava","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ohtaekwangia","Ohtaekwangia flava","Contig","China: Shandong Province","GCA_003286915.1","none","upper soil sample","representative genome",2059302,2059302,"aerobe","aerobic"
"41","RS_GCF_001270065.2",100,0.04,99.81,0.55,59.3941330155402,4873611,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Limnohabitans_A;Limnohabitans_A planktonicus","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnohabitans_A","Limnohabitans_A planktonicus","Contig","Czech Republic: Ceske Budejovice; Rimov Reservoir","GCA_001270065.2","none","freshwater reservoir","representative genome",540060,1293045,"aerobe","aerobic"
"42","RS_GCF_002067135.1",99.81,0.01,100,0.3,54.4263232267358,5828404,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomataceae;Spirosoma;Spirosoma rigui","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Spirosoma","Spirosoma rigui","Complete Genome","Korea:Woopo wetland","GCA_002067135.1","none","fresh water","representative genome",564064,564064,"aerobe","aerobic"
"43","RS_GCF_003352185.1",100,0.84,99.93,0.36,60.5450547587853,6324282,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas_E;Pseudomonas_E kribbensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E kribbensis","Complete Genome","South Korea: Daejeon","GCA_003352185.1","none","garden soil (KRIBB; Daejeon; South Korea)","representative genome",1628086,1628086,"aerobe","aerobic"
"44","RS_GCF_014192095.1",99.99,0.28,99.57,0,56.3975819862926,6306857,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium;Phyllobacterium trifolii","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium","Phyllobacterium trifolii","Scaffold","none","GCA_014192095.1","none","none","representative genome",300193,300193,"aerobe","aerobic"
"45","RS_GCF_000196795.1",100,0.04,100,0.68,38.7320733343399,4152543,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter oleivorans","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter oleivorans","Complete Genome","none","GCA_000196795.1","none","none","representative genome",1148157,436717,"aerobe","aerobic"
"46","RS_GCF_010723305.1",99.82,0.29,99.09,0.91,65.6559901269881,4335050,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium botniense","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium botniense","Contig","none","GCA_010723305.1","none","none","representative genome",84962,84962,"aerobe","aerobic"
"47","GB_GCA_019339365.1",99.98,4.28,97.6,2.48,45.3037520430445,5363931,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;Vibrio neptunius","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","Vibrio neptunius","Complete Genome","none","GCA_019339365.1","none","none","na",170651,170651,"aerobe","aerobic"
"48","RS_GCF_000423445.1",99.91,0.87,100,0.66,67.9710852888663,2938072,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;Acidipropionibacterium thoenii","Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Acidipropionibacterium","Acidipropionibacterium thoenii","Scaffold","none","GCA_000423445.1","none","none","representative genome",1751,1122998,"anaerobe","anaerobic"
"49","RS_GCF_014635305.1",100,0.09,99.31,1.45,68.0825029753167,4809572,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Williamsia_A;Williamsia_A phyllosphaerae","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Williamsia_A","Williamsia_A phyllosphaerae","Contig","none","GCA_014635305.1","none","none","representative genome",885042,885042,"aerobe","aerobic"
"50","RS_GCF_000372865.1",99.99,0.49,99.54,0.29,54.0673138810121,4978464,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylosarcina;Methylosarcina fibrata","Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylosarcina","Methylosarcina fibrata","Scaffold","USA","GCA_000372865.1","none","upper soil layer of a landfill; Athens; GA","representative genome",105972,1132443,"aerobe","aerobic"
"51","RS_GCF_000970795.1",99.59,0.54,98.95,0,39.3042903773046,1815047,TRUE,"Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus mellifer","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Bombilactobacillus","Bombilactobacillus mellifer","Scaffold","Sweden: Jonstorp","GCA_000970795.1","none","gut","representative genome",1218492,1218492,"anaerobe","anaerobic"
"52","RS_GCF_900142955.1",100,2.08,99.33,3.36,34.9421930359443,5217774,TRUE,"Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerosporobacter;Anaerosporobacter mobilis","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerosporobacter","Anaerosporobacter mobilis","Scaffold","none","GCA_900142955.1","none","none","representative genome",264463,1120996,"anaerobe","anaerobic"
"53","GB_GCA_000010565.1",99.99,1.29,100,0.63,52.9611039953725,3025375,TRUE,"Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Pelotomaculaceae;Pelotomaculum;Pelotomaculum thermopropionicum","Bacteria","Bacillota","Desulfotomaculia","Desulfotomaculales","Pelotomaculaceae","Pelotomaculum","Pelotomaculum thermopropionicum","Complete Genome","none","GCA_000010565.1","none","none","na",110500,370438,"anaerobe","anaerobic"
"54","RS_GCF_900100605.1",99.01,0.84,99.31,2.99,69.300030453378,7057140,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Sinosporangium;Sinosporangium album","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Sinosporangium","Sinosporangium album","Scaffold","none","GCA_900100605.1","none","none","representative genome",504805,504805,"aerobe","aerobic"
"55","RS_GCF_900104215.1",99.99,0.11,99.94,0,56.1964951244057,3602125,TRUE,"Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum;Desulfonatronum thiosulfatophilum","Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfonatronaceae","Desulfonatronum","Desulfonatronum thiosulfatophilum","Contig","none","GCA_900104215.1","none","none","representative genome",617002,617002,"anaerobe","anaerobic"
"56","RS_GCF_000474945.1",99.79,0.11,100,0.36,68.5094750017391,4186503,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Nevskiaceae;Solimonas;Solimonas soli","Bacteria","Pseudomonadota","Gammaproteobacteria","Nevskiales","Nevskiaceae","Solimonas","Solimonas soli","Scaffold","South Korea","GCA_000474945.1","none","none","representative genome",413479,1123261,"aerobe","aerobic"
"57","RS_GCF_001642695.1",98.3,0.17,97.6,0.86,73.2901083071539,7121774,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces chilikensis","Bacteria","Actinomycetota","Actinomycetes","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces chilikensis","Scaffold","India: Chilika Lake; Odisha","GCA_001642695.2","none","Brackish lake sediment","representative genome",1194079,1194079,"aerobe","aerobic"
"58","RS_GCF_002993965.1",97.49,0,98.65,0,30.5286306779625,1542971,TRUE,"Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Apilactobacillus;Apilactobacillus timberlakei","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus","Apilactobacillus timberlakei","Contig","USA: Riverside; CA","GCA_002993965.1","none","adult bee gut","representative genome",2008380,2008380,"aerobe","aerobic"
"59","RS_GCF_000473205.1",99.99,1.31,99.82,0,59.2692487773807,5049234,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudophaeobacter;Pseudophaeobacter arcticus","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter","Pseudophaeobacter arcticus","Scaffold","Arctic Ocean","GCA_000473205.1","none","none","representative genome",385492,999550,"aerobe","aerobic"
