Accession,phylum,PF00216.26,PF00296.26,PF01189.24,PF04241.20,PF08331.15,PF10371.14,PF10590.14,PF16870.10,PF17769.7,PF17910.6,PF22692.1,PF01329.24,PF21349.2,PF01152.27,PF02104.20,PF02628.20,PF03070.21,PF01871.22,PF13564.11,PF05721.19,Oxygen2
GCA_003545925.1,Spirochaetota,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0
GCA_000025725.1,Other,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_001636545.1,Thermotogota,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_000022145.1,Other,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1
GCA_010894455.1,Other,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0
GCA_003667345.1,Campylobacterota,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0
GCA_000688455.1,Acidobacteriota,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0
GCA_000429905.1,Desulfobacterota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_004339245.1,Other,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_025264625.1,Acidobacteriota,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0
GCA_013201645.1,Campylobacterota,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
GCA_000421625.1,Deinococcota,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
GCA_000024405.1,Fusobacteriota,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
GCA_003633715.1,Aquificota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000147715.3,Thermotogota,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_000519265.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_004123295.1,Acidobacteriota,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0
GCA_008362905.1,Other,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000341395.1,Desulfobacterota,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000420465.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000020225.1,Verrucomicrobiota,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
GCA_000177635.2,Other,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000174435.1,Desulfobacterota_I,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
GCA_000420085.1,Desulfobacterota,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
GCA_014647075.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0
GCA_000255135.1,Thermotogota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000183725.1,Campylobacterota,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
GCA_000426225.1,Desulfobacterota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000526395.1,Synergistota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_002895605.1,Thermotogota,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
GCA_025685645.1,Acidobacteriota,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0
GCA_000235405.3,Thermotogota,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900101105.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_003148465.1,Thermotogota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1
GCA_000013385.1,Other,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0
GCA_000195275.1,Spirochaetota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
GCA_001050275.1,Chloroflexota,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_001907975.2,Other,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0
GCA_000173075.1,Verrucomicrobiota,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0
GCA_000218625.1,Other,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_018501225.1,Desulfobacterota,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_003355515.1,Campylobacterota,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
GCA_900142415.1,Bacteroidota_A,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0
GCA_000375465.1,Bacteroidota_A,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0
GCA_001650695.1,Chloroflexota,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
GCA_000421605.1,Desulfobacterota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000420385.1,Campylobacterota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000934745.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000745975.1,Desulfobacterota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000012965.1,Campylobacterota,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
GCA_015731765.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000526155.1,Other,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_007990775.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0
GCA_000023225.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_002150035.1,Spirochaetota,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1
GCA_000585335.1,Synergistota,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_003752135.1,Campylobacterota,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
GCA_016446285.1,Desulfobacterota,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_025264645.1,Acidobacteriota,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0
GCA_008329945.1,Spirochaetota,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
GCA_004339575.1,Aquificota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000817955.1,Desulfobacterota,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
GCA_000482505.1,Fusobacteriota,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GCA_900129975.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900129985.1,Thermotogota,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_000813325.1,Campylobacterota,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
GCA_021462405.1,Deinococcota,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
GCA_016595465.1,Verrucomicrobiota,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
GCA_000827125.1,Desulfobacterota,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000016905.1,Thermotogota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900182555.1,Bacteroidota_A,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0
GCA_000194135.1,Campylobacterota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900187885.1,Chloroflexota,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
GCA_900637705.1,Fusobacteriota,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
GCA_000381345.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0
GCA_900129305.1,Desulfobacterota,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000219725.1,Spirochaetota,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_014651635.1,Verrucomicrobiota,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
GCA_008830225.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_003966735.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000018605.1,Thermotogota,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
GCA_000160475.1,Fusobacteriota,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
GCA_900104445.1,Desulfobacterota,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_000019965.1,Verrucomicrobiota,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0
GCA_000016785.1,Thermotogota,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000191045.1,Aquificota,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000242615.3,Acidobacteriota,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
GCA_000021725.1,Campylobacterota,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
GCA_016918565.1,Desulfobacterota,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1
GCA_000474745.1,Other,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
GCA_000143985.1,Spirochaetota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000429965.1,Desulfobacterota,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1
GCA_000233775.1,Synergistota,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
GCA_001683795.1,Verrucomicrobiota,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
GCA_000469585.1,Other,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000702665.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000711735.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000178955.2,Acidobacteriota,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0
GCA_000421585.1,Desulfobacterota,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000482745.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_014201715.1,Verrucomicrobiota,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0
GCA_000006985.1,Bacteroidota_A,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
GCA_001580015.1,Verrucomicrobiota,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
GCA_002834295.1,Bacteroidota_A,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0
GCA_000018945.1,Thermotogota,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_016919005.1,Desulfobacterota,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
GCA_000176915.2,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
GCA_000687145.1,Acidobacteriota,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1
GCA_011927665.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_008124865.1,Bacteroidota_A,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0
GCA_000422545.1,Desulfobacterota_I,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
GCA_000429305.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000281175.1,Chloroflexota,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1
GCA_003860465.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0
GCA_004801255.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900129175.1,Thermotogota,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
GCA_001311565.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
GCA_014646895.1,Deinococcota,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0
GCA_004366815.1,Synergistota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900143695.1,Desulfobacterota,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000421285.1,Desulfobacterota,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_001547735.1,Other,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_004115155.1,Acidobacteriota,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0
GCA_000012485.1,Bacteroidota_A,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
GCA_007745175.1,Planctomycetota,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0
GCA_000013405.1,Desulfobacterota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_001311985.1,Desulfobacterota,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900176165.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0
GCA_010894475.1,Other,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0
GCA_003253565.1,Chloroflexota,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0
GCA_000445475.1,Campylobacterota,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
GCA_004208415.1,Chloroflexota,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0
GCA_900142125.1,Desulfobacterota,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000526375.1,Synergistota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_006265165.1,Bacteroidota_A,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
GCA_000217795.1,Desulfobacterota,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000284335.1,Other,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_005377625.1,Desulfobacterota,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900142135.1,Desulfobacterota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_001999965.1,Planctomycetota,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_001595645.1,Campylobacterota,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1
GCA_000008565.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
GCA_000744435.1,Campylobacterota,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
GCA_000266945.1,Desulfobacterota,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_016907925.1,Chloroflexota,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
GCA_000190555.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0
GCA_900142435.1,Aquificota,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
GCA_000568815.1,Campylobacterota,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
GCA_003664005.1,Aquificota,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1
GCA_000711225.1,Desulfobacterota,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
GCA_000020365.1,Desulfobacterota,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_007860135.1,Planctomycetota,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0
GCA_000018865.1,Chloroflexota,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1
GCA_000236685.1,Spirochaetota,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_002895525.1,Thermotogota,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
GCA_004006635.1,Fusobacteriota,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
GCA_000024985.1,Chloroflexota,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0
GCA_013761005.1,Desulfobacterota,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000373985.1,Desulfobacterota,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1
GCA_003173015.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0
GCA_002283365.1,Bacteroidota_A,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0
GCA_000686525.1,Desulfobacterota_I,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
GCA_000375485.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000212395.1,Other,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000746255.1,Desulfobacterota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_001719065.1,Thermotogota,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000018565.1,Chloroflexota,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0
GCA_016918505.1,Desulfobacterota,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_900143255.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1
GCA_007747995.1,Planctomycetota,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0
GCA_000024905.1,Synergistota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_003967555.1,Chloroflexota,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0
GCA_000020385.1,Desulfobacterota,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000186885.1,Desulfobacterota,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900176285.1,Desulfobacterota,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_025685415.1,Acidobacteriota,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
GCA_016918545.1,Desulfobacterota,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900188395.1,Aquificota,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000378445.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
GCA_002924625.1,Thermotogota,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
GCA_900187405.1,Desulfobacterota,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1
GCA_025685655.1,Acidobacteriota,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0
GCA_002897375.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0
GCA_021021555.1,Spirochaetota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900114625.1,Acidobacteriota,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0
GCA_000701705.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
GCA_000332455.2,Spirochaetota,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0
GCA_007743815.1,Planctomycetota,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0
GCA_000820505.1,Desulfobacterota,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1
GCA_000504085.1,Thermotogota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000199675.1,Chloroflexota,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
GCA_900450765.1,Fusobacteriota,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
GCA_022026155.1,Desulfobacterota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
