ID,designation_header,strain_number_header,is_type_strain_header,species,domain,Oxygen tolerance,Genome seq. accession number,Genome Sequence associated NCBI tax ID,Genome Sequence database
156477,,"CCUG 61965, LMG 26689",0,Achromobacter animicus,Bacteria,aerobe,2900094115,1389935,img
,,,,,,obligate aerobe,,,
156478,,"CCUG 61967, LMG 26691",0,Achromobacter animicus,Bacteria,aerobe,2900137357,1389935,img
156535,,"CCUG 62445, LMG 26858",0,Achromobacter anxifer,Bacteria,aerobe,2902253905,1287737,img
,,,,,,obligate aerobe,,,
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,Achromobacter denitrificans,Bacteria,aerobe,2731957627,1255278,img
,,,,,,obligate aerobe,2811995195,32002,img
134918,"Vandamme R-47430, LiPuma AU4012, AU4012, R-47430","CIP 110711, LMG 26840, CCUG 62421, DSM 115983",1,Achromobacter dolens,Bacteria,aerobe,2900088174,1287738,img
,,,,,,obligate aerobe,,,
156522,,"CCUG 62422, LMG 26841",0,Achromobacter dolens,Bacteria,aerobe,2900142850,1287738,img
,,,,,,obligate aerobe,,,
156523,,"CCUG 62423, LMG 26842",0,Achromobacter dolens,Bacteria,aerobe,2900106755,1287738,img
,,,,,,obligate aerobe,,,
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,Achromobacter insolitus,Bacteria,aerobe,2751185845,217204,img
,,,,,,obligate aerobe,2855745187,217204,img
140507,,"CCUG 62449, LMG 3441",1,Achromobacter kerstersii,Bacteria,aerobe,2921339674,1353890,img
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,Achromobacter marplatensis,Bacteria,aerobe,2770939588,470868,img
,,,,,,obligate aerobe,,,
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,Achromobacter pestifer,Bacteria,aerobe,2921347846,1353889,img
,,,,,,obligate aerobe,,,
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,Achromobacter piechaudii,Bacteria,aerobe,2681812971,1216977,img
,,,,,,obligate aerobe,,,
311,,"DSM 30031, ATCC 337, CCUG 228, NCTC 3233",0,Achromobacter sp.,Bacteria,aerobe,2814123178,72556,img
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,Achromobacter spanius,Bacteria,aerobe,2802429335,217203,img
,,,,,,obligate aerobe,,,
136825,,"CIP 71.33, JCM 9660, ATCC 27062, IAM 12685, LMG 3429, NCTC 10808",0,Achromobacter xylosoxidans,Bacteria,aerobe,2841492466,85698,img
,,,,,,obligate aerobe,,,
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,Achromobacter xylosoxidans subsp. xylosoxidans,Bacteria,aerobe,2558309085,1216976,img
,,,,,,obligate aerobe,2667527485,85698,img
,,,,,,,2731957707,1216976,img
17960,,"DSM 2784, Glu 65, CIP 106102",1,Acidaminobacter hydrogenoformans,Bacteria,anaerobe,2599185234,1120920,img
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,Acidaminococcus fermentans,Bacteria,anaerobe,646311901,591001,img
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,Acidaminococcus intestini,Bacteria,anaerobe,2524614855,1120921,img
,,,,,,obligate anaerobe,,,
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,Acidibrevibacterium fodinaquatile,Bacteria,obligate aerobe,2841042143,1969806,img
24820,V8,"DSM 14175, JCM 32254",1,Acidihalobacter ferrooxydans,Bacteria,aerobe,2751185721,1765967,img
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,Acidimangrovimonas sediminis,Bacteria,aerobe,2833082749,2056283,img
,,,,,,obligate aerobe,,,
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,Acidipropionibacterium acidipropionici,Bacteria,anaerobe,2513237117,1111734,img
,,,,,,facultative anaerobe,,,
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402, CIP 53.164",0,Acidipropionibacterium acidipropionici,Bacteria,facultative anaerobe,2518285597,1171373,img
,,,,,,obligate anaerobe,2521172602,1171373,img
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,Acidipropionibacterium jensenii,Bacteria,anaerobe,2523533551,1122997,img
,,,,,,facultative anaerobe,,,
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,Acidipropionibacterium thoenii,Bacteria,anaerobe,2523231069,1122998,img
,,,,,,microaerophile,,,
,,,,,,obligate aerobe,,,
158421,JS278,"DSM 106790, VTT E-113202",1,Acidipropionibacterium virtanenii,Bacteria,aerobe,2834914592,2057246,img
,,,,,,anaerobe,,,
,,,,,,facultative anaerobe,,,
160797,MG,"DSM 107098, JCM 33084",1,Acidithiobacillus ferrianus,Bacteria,facultative anaerobe,2895580592,2678518,img
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,Acidithiobacillus ferridurans,Bacteria,facultative anaerobe,2824077352,920,img
159192,CJ-2,"DSM 105150, KCTC 4683",1,Acidithiobacillus sulfuriphilus,Bacteria,aerobe,2840828123,1867749,img
,,,,,,obligate aerobe,,,
133033,PMMR2,"DSM 27394, LMG 28340",1,Acidobacterium ailaaui,Bacteria,aerobe,2558860986,1382359,img
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,Acidovorax anthurii,Bacteria,aerobe,2636415976,78229,img
,,,,,,obligate aerobe,,,
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,Acidovorax avenae,Bacteria,obligate aerobe,650716004,643561,img
2903,R-24608,"DSM 19327, LMG 24103",1,Acidovorax caeni,Bacteria,facultative aerobe,2634166357,343013,img
,,,,,,,2740892283,343013,img
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,Acidovorax cattleyae,Bacteria,obligate aerobe,2634166355,80868,img
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,Acidovorax defluvii,Bacteria,aerobe,2756170235,86669,img
,,,,,,facultative anaerobe,,,
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,Acidovorax kalamii,Bacteria,aerobe,2839292028,2004485,img
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,Acidovorax konjaci,Bacteria,obligate aerobe,2634166315,32040,img
135927,,"CIP 106433, CCUG 15836, LMG 1806, NCPPB 1392, ATCC 19882, ICMP 3960, CFBP 2426",0,Acidovorax oryzae,Bacteria,aerobe,2563366540,1408420,img
,,,,,,obligate aerobe,,,
2905,N35,"DSM 23535, LMG 25767",1,Acidovorax radicis,Bacteria,aerobe,2547132374,999386,img
,,,,,,obligate aerobe,,,
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,Acidovorax soli,Bacteria,aerobe,2675903230,592050,img
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,Acidovorax temperans,Bacteria,obligate aerobe,2818991434,80878,img
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,Acidovorax valerianellae,Bacteria,obligate aerobe,2615840716,187868,img
23868,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1,Acidovorax wautersii,Bacteria,aerobe,2634166330,1177982,img
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,Acinetobacter baumannii,Bacteria,obligate aerobe,2534682196,575584,img
,,,,,,,2585427930,575584,img
,,,,,,,2609460113,575584,img
,,,,,,,2700989282,470,img
,,,,,,,2916668946,575584,img
,,,,,,,647533101,575584,img
132687,"Piéchaud 5377, Piéchaud strain Rochefort","DSM 105126, ATCC 17978, CIP 53.77, LMG 1025, NCDC KC755, Bouvet and Grimont 8",0,Acinetobacter baumannii,Bacteria,aerobe,2671180557,470,img
,,,,,,obligate aerobe,2860756204,400667,img
,,,,,,,640069301,400667,img
134783,,"CIP 110436, NIPH 528, CCM 7290, LMG 10541, RUH 134, CCUG 60612",0,Acinetobacter baumannii,Bacteria,aerobe,2529293010,1217636,img
,,,,,,obligate aerobe,,,
135661,,"CIP 70.10, ATCC 15151",0,Acinetobacter baumannii,Bacteria,aerobe,2684623147,470,img
,,,,,,obligate aerobe,,,
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,Acinetobacter baylyi,Bacteria,aerobe,2556921654,1120924,img
,,,,,,facultative anaerobe,2565956683,1120924,img
,,,,,,obligate aerobe,,,
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,Acinetobacter beijerinckii,Bacteria,aerobe,2565956701,1217648,img
,,,,,,obligate aerobe,2671180604,262668,img
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,Acinetobacter bereziniae,Bacteria,aerobe,2547132297,981324,img
,,,,,,facultative anaerobe,2565956640,981324,img
,,,,,,obligate aerobe,,,
8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,Acinetobacter bouvetii,Bacteria,aerobe,2517093005,1120925,img
,,,,,,obligate aerobe,2565956682,1120925,img
,,,,,,,2660238193,202951,img
8140,5YN5-8,"DSM 18516, CIP 110357, KACC 11602, CCUG 61636, CIP 110501, ANC 4119",1,Acinetobacter brisouii,Bacteria,aerobe,2579778708,1341683,img
,,,,,,obligate aerobe,2657245517,1341683,img
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,Acinetobacter calcoaceticus,Bacteria,obligate aerobe,2534682017,981331,img
,,,,,,,2547132303,981331,img
,,,,,,,2660238279,471,img
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,Acinetobacter colistiniresistens,Bacteria,aerobe,2565956665,280145,img
,,,,,,obligate aerobe,,,
141331,,"CCUG 887, ATCC 17905, NCTC 10304, CIP 64.2, CNCTC 7582, NIPH 1860",0,Acinetobacter colistiniresistens,Bacteria,facultative anaerobe,2547132309,981224,img
,,,,,,obligate aerobe,2565956660,1217694,img
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,Acinetobacter courvalinii,Bacteria,aerobe,2565956649,1217698,img
,,,,,,obligate aerobe,,,
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,Acinetobacter defluvii,Bacteria,obligate aerobe,2767802242,1871111,img
133175,JVAP01,"CECT 9134, LMG 29605",1,Acinetobacter lactucae,Bacteria,aerobe,2690315737,1785128,img
,,,,,,obligate aerobe,,,
139491,,"CIP 110481, NIPH 1867, CCUG 34437",0,Acinetobacter dispersus,Bacteria,aerobe,2565956659,1217702,img
,,,,,,obligate aerobe,,,
140912,114,"CCUG 65204, DSM 27228",1,Acinetobacter equi,Bacteria,aerobe,2648501117,1324350,img
,,,,,,obligate aerobe,,,
8132,"9AO1, 9A01","DSM 14967, CIP 107464, CCM 7197",1,Acinetobacter gerneri,Bacteria,facultative anaerobe,2565956694,1120926,img
,,,,,,obligate aerobe,,,
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,Acinetobacter guillouiae,Bacteria,aerobe,2565956705,1217655,img
,,,,,,obligate aerobe,,,
136752,,"CIP 110451, NIPH 230, CCUG 56138",0,Acinetobacter gyllenbergii,Bacteria,aerobe,2565956703,1217658,img
,,,,,,obligate aerobe,,,
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,Acinetobacter haemolyticus,Bacteria,aerobe,2537561554,1217659,img
,,,,,,facultative anaerobe,2582581441,1217659,img
,,,,,,obligate aerobe,,,
137522,,"CIP 70.27, ATCC 19194",0,Acinetobacter haemolyticus,Bacteria,aerobe,647000202,707232,img
,,,,,,obligate aerobe,,,
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,Acinetobacter indicus,Bacteria,aerobe,2579779046,1341679,img
,,,,,,facultative anaerobe,2663763131,1341679,img
,,,,,,obligate aerobe,,,
131299,1NM-4,"DSM 100979, CCTCC AB 2014199, GIMCC 1.656, KCTC 42012, CCUG 69701, CIP 111486",0,Acinetobacter indicus,Bacteria,aerobe,2916672942,756892,img
,,,,,,obligate aerobe,,,
139603,,"CIP 53.82, ATCC 17976",0,Acinetobacter indicus,Bacteria,aerobe,2565956663,1144671,img
,,,,,,obligate aerobe,,,
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,Acinetobacter johnsonii,Bacteria,aerobe,2537561556,1217663,img
,,,,,,obligate aerobe,2657245534,40214,img
8087,17AO4,"CCUG 50767, DSM 14968, CIP 107470, CCM 7198",0,Acinetobacter junii,Bacteria,aerobe,2534682023,1217666,img
,,,,,,facultative anaerobe,,,
,,,,,,obligate aerobe,,,
133403,BRTC-1,"ACCC 19936, JCM 31367",1,Acinetobacter larvae,Bacteria,aerobe,2767802241,1789224,img
,,,,,,obligate aerobe,,,
139604,,CIP 102136,0,Acinetobacter lwoffii,Bacteria,aerobe,2565956644,1144665,img
,,,,,,facultative anaerobe,,,
,,,,,,obligate aerobe,,,
139605,,"CIP 64.7, ATCC 17910, NCTC 10309",0,Acinetobacter lwoffii,Bacteria,obligate aerobe,2565956647,1144673,img
139606,,"CIP 70.31, ATCC 9957, CCUG 61662, LMG 985, CNCTC Mi 3/65",0,Acinetobacter lwoffii,Bacteria,aerobe,2534682025,1311804,img
,,,,,,obligate aerobe,,,
139612,,CIP 101966,0,Acinetobacter lwoffii,Bacteria,aerobe,2565956646,1144662,img
,,,,,,obligate aerobe,,,
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,Acinetobacter modestus,Bacteria,aerobe,2565956686,1217711,img
,,,,,,obligate aerobe,,,
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,Acinetobacter nectaris,Bacteria,aerobe,2582580904,1392540,img
,,,,,,obligate aerobe,,,
132120,,"DSM 102856, CCM 7791, CNCTC 7433, LMG 10619, NIPH 2119, CCUG 61663, RUH 2376, CIP 110470",1,Acinetobacter nosocomialis,Bacteria,aerobe,2537561557,1217670,img
,,,,,,obligate aerobe,2671180619,106654,img
157136,,"CCUG 69705, KCTC 23045, JCM 16667",0,Acinetobacter oleivorans,Bacteria,aerobe,2663763040,1148157,img
,,,,,,obligate aerobe,,,
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,Acinetobacter parvus,Bacteria,facultative anaerobe,2547132305,981333,img
,,,,,,obligate aerobe,2565956642,981333,img
134448,2288,CIP 102129,0,Acinetobacter parvus,Bacteria,facultative anaerobe,2565956675,1144664,img
,,,,,,obligate aerobe,,,
139613,,CIP 102529,0,Acinetobacter parvus,Bacteria,obligate aerobe,2565956674,1144668,img
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,Acinetobacter piscicola,Bacteria,aerobe,2791355509,2006115,img
,,,,,,facultative anaerobe,,,
,,,,,,obligate aerobe,,,
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,Acinetobacter pittii,Bacteria,aerobe,2537561555,1311774,img
,,,,,,obligate aerobe,2667527755,48296,img
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,Acinetobacter proteolyticus,Bacteria,aerobe,2565956687,1217713,img
,,,,,,facultative anaerobe,,,
,,,,,,obligate aerobe,,,
8096,FO-1,"DSM 6976, ATCC 43998, IAM 13186, CCUG 56440, CIP 103788, LMG 10613, JCM 9326, NBRC 102413, NCIMB 12753",1,Acinetobacter radioresistens,Bacteria,aerobe,2529293101,981334,img
,,,,,,obligate aerobe,2531839506,981334,img
,,,,,,,2547132307,981334,img
8147,G30,"DSM 24031, CCUG 57889, CECT 7818, LMG 26107, CIP 110305",1,Acinetobacter rudis,Bacteria,aerobe,2671181009,632955,img
,,,,,,obligate aerobe,,,
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,Acinetobacter schindleri,Bacteria,aerobe,2565956681,1217988,img
,,,,,,obligate aerobe,,,
139607,,CIP 101934,0,Acinetobacter schindleri,Bacteria,aerobe,2565956657,1144661,img
,,,,,,obligate aerobe,,,
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,Acinetobacter sichuanensis,Bacteria,aerobe,2814123059,2136183,img
,,,,,,obligate aerobe,,,
8143,"B1, CR11, IBFC2009","DSM 22956, JCM 15062, KCTC 22184, CCUG 59023, KCTC 22814, CIP 110264, CCTCC AB 209162",1,Acinetobacter soli,Bacteria,aerobe,2565956696,1217676,img
,,,,,,obligate aerobe,2660238584,487316,img
139608,,CIP 56.2,0,Acinetobacter sp.,Bacteria,obligate aerobe,2565956668,1144672,img
141333,,"CCUG 996, CIP 70.18, NCDC KC727, ATCC 17988, LMG 1031",0,Acinetobacter higginsii,Bacteria,obligate aerobe,2565956678,1217700,img
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,Acinetobacter tandoii,Bacteria,obligate aerobe,2556921011,1120927,img
,,,,,,,2565956702,1120927,img
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,Acinetobacter tjernbergiae,Bacteria,aerobe,2517572243,1120928,img
,,,,,,obligate aerobe,2565956679,1120928,img
,,,,,,,2700989278,1120928,img
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,Acinetobacter towneri,Bacteria,aerobe,2556921621,1120929,img
,,,,,,obligate aerobe,2565956698,1120929,img
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,Acinetobacter ursingii,Bacteria,aerobe,2547132306,981336,img
,,,,,,facultative anaerobe,2565956639,981336,img
,,,,,,obligate aerobe,,,
8144,"RAG-1, Vaneechoutte ACI 403","KCTC 2702, BCRC 14357, DSM 23050, ATCC 31012, CCUG 45561, LMG 19082, LUH 3904, NIPH 1925, CIP 110063",1,Acinetobacter venetianus,Bacteria,aerobe,2551306081,1191460,img
,,,,,,obligate aerobe,2565956684,1191460,img
139493,,"CIP 110483, NIPH 2168, RUH 65, CCUG 67967, CCM 8642",1,Acinetobacter vivianii,Bacteria,aerobe,2565956661,1217706,img
,,,,,,obligate aerobe,,,
