"accession","checkm2_completeness","checkm2_contamination","checkm_completeness","checkm_contamination","gc_percentage","genome_size","gtdb_representative","gtdb_taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species","ncbi_assembly_level","ncbi_country","ncbi_genbank_assembly_accession","ncbi_genome_category","ncbi_isolation_source","ncbi_refseq_category","ncbi_species_taxid","ncbi_taxid","Oxygen.tolerance","Oxygen2"
"RS_GCF_900106055.1",99.64,0.89,99.29,2.84,58.9285706937679,2430293,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia radingae_A","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Pauljensenia","s__Pauljensenia radingae_A","Chromosome","none","GCA_900106055.1","none","none","representative genome",131110,131110,"facultative anaerobe","facultative"
"RS_GCF_001936115.1",99.98,0,98.01,0.47,54.1940539129689,1842889,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Boudabousia;s__Boudabousia marimammalium","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Boudabousia","s__Boudabousia marimammalium","Scaffold","United Kingdom","GCA_001936115.1","none","none","representative genome",156892,156892,"facultative anaerobe","facultative"
"RS_GCF_001553565.1",100,0.01,100,1.9,72.5813528779698,3051613,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces radicidentis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces radicidentis","Complete Genome","Sweden","GCA_001553565.1","none","Infected tooth root canal","representative genome",111015,111015,"facultative anaerobe","facultative"
"RS_GCF_000159035.1",93.59,0.2,96.24,1.42,68.7287037536481,2702812,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces urogenitalis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces urogenitalis","Scaffold","none","GCA_000159035.1","none","biological product [ENVO:02000043]","na",103621,525246,"facultative anaerobe","facultative"
"RS_GCF_000159015.1",99.61,0.16,99.01,0.87,49.5961255035345,1723843,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia;s__Gleimia coleocanis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Gleimia","s__Gleimia coleocanis","Scaffold","none","GCA_000159015.1","none","biological product [ENVO:02000043]","representative genome",103618,525245,"facultative anaerobe","facultative"
"RS_GCF_000429105.1",100,0.2,99.88,0.47,56.4268679387511,2294128,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia suimastitidis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Pauljensenia","s__Pauljensenia suimastitidis","Scaffold","Sweden","GCA_000429105.1","none","none","representative genome",121163,1120946,"facultative anaerobe","facultative"
"RS_GCF_016405145.1",100,1.07,100,3.91,61.5673281991711,2240847,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia cardiffensis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Pauljensenia","s__Pauljensenia cardiffensis","Scaffold","United Kingdom","GCA_016405145.1","none","intrauterine contraceptive device","na",181487,181487,"facultative anaerobe","facultative"
"RS_GCF_000420425.1",100,0.44,100,0.47,57.5610688557175,2338426,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia vaccimaxillae","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Pauljensenia","s__Pauljensenia vaccimaxillae","Contig","United Kingdom","GCA_000420425.1","none","none","representative genome",183916,1120947,"facultative anaerobe","facultative"
"RS_GCF_004104015.1",100,0.43,99.76,1.42,68.6888325804948,2930686,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oricola","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces oricola","Contig","United Kingdom: Bury","GCA_004104015.1","none","dental abscess","representative genome",206043,206043,"facultative anaerobe","facultative"
"RS_GCF_001907295.1",100,0.33,98.75,0,65.2340686957257,2638573,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Bowdeniella;s__Bowdeniella nasicola","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Bowdeniella","s__Bowdeniella nasicola","Scaffold","United Kingdom","GCA_001907295.1","none","none","representative genome",208480,208480,"facultative anaerobe","facultative"
"RS_GCF_000269805.1",99.98,0.58,99.96,2.19,67.7748086633371,3371034,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces massiliensis","Scaffold","France: Marseille","GCA_000269805.1","none","patient blood culture","representative genome",461393,1167628,"facultative anaerobe","facultative"
"RS_GCF_032085515.1",99.93,0.25,99.05,0.59,57.2455821164411,2134185,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia;s__Gleimia hominis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Gleimia","s__Gleimia hominis","Scaffold","none","GCA_032085515.1","none","none","representative genome",595468,595468,"facultative anaerobe","facultative"
"RS_GCF_016598775.1",98.91,0.29,100,0.47,70.27362732974,2564181,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces weissii","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces weissii","Complete Genome","Germany","GCA_016598775.1","none","oral cavity","representative genome",675090,675090,"facultative anaerobe","facultative"
"RS_GCF_000092365.1",100,0.1,97.99,0,53.1332414304228,1986154,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacterium haemolyticum","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Arcanobacterium","s__Arcanobacterium haemolyticum","Complete Genome","none","GCA_000092365.1","none","none","na",28264,644284,"facultative anaerobe","facultative"
"RS_GCF_900105865.1",99.89,1.29,98.85,3.02,49.9688225950611,1998342,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacterium phocae","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Arcanobacterium","s__Arcanobacterium phocae","Chromosome","none","GCA_900105865.1","none","none","representative genome",131112,131112,"facultative anaerobe","facultative"
"RS_GCF_016907845.1",100,0.02,100,0.86,52.0007882435291,2095799,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium_A;s__Arcanobacterium_A pluranimalium","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Arcanobacterium_A","s__Arcanobacterium_A pluranimalium","Contig","none","GCA_016907845.1","none","none","representative genome",108028,108028,"facultative anaerobe","facultative"
"RS_GCF_031456295.1",99.78,1.57,99.14,0,48.6467316694548,2033041,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium_A;s__Arcanobacterium_A hippocoleae","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Arcanobacterium_A","s__Arcanobacterium_A hippocoleae","Contig","none","GCA_031456295.1","none","none","representative genome",149017,149017,"facultative anaerobe","facultative"
"RS_GCF_900637955.1",99.98,0.53,96.55,0,59.6187738254124,2043249,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella bialowiezensis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Trueperella","s__Trueperella bialowiezensis","Complete Genome","none","GCA_900637955.1","none","not available: to be reported later","representative genome",312285,312285,"facultative anaerobe","facultative"
"RS_GCF_030811535.1",99.99,0.63,97.99,0,57.1234008209487,1903164,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella bonasi","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Trueperella","s__Trueperella bonasi","Contig","Poland: Bialowieza National Park","GCA_030811535.1","none","none","representative genome",312286,312286,"facultative anaerobe","facultative"
"RS_GCF_000160075.2",99.02,0.06,98.46,0,46.9811772622621,2043439,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__Abiotrophia defectiva","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Abiotrophia","s__Abiotrophia defectiva","Scaffold","none","GCA_000160075.2","none","blood","na",46125,592010,"facultative anaerobe","facultative"
"RS_GCF_000178435.1",99.92,1.15,98.9,1.65,39.453589071582,2005853,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus viridans","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Aerococcus","s__Aerococcus viridans","Contig","none","GCA_000178435.1","none","biological product [ENVO:02000043]","na",1377,655812,"facultative anaerobe","facultative"
"RS_GCF_000425085.1",99.81,0.17,98.35,1.1,39.2697298742119,1992132,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinaeequi","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Aerococcus","s__Aerococcus urinaeequi","Scaffold","none","GCA_000425085.1","none","none","na",51665,1120952,"facultative anaerobe","facultative"
"RS_GCF_001543175.1",99.99,0.24,99.59,0.27,42.5950557727394,1974262,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Aerococcus","s__Aerococcus urinae","Complete Genome","Denmark: Copenhagen","GCA_001543175.1","none","Human urine","representative genome",1376,1376,"facultative anaerobe","facultative"
"RS_GCF_001543145.1",99.94,0.39,98.72,1.65,47.5617413092122,2033849,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus sanguinicola","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Aerococcus","s__Aerococcus sanguinicola","Complete Genome","Denmark: Esbjerg","GCA_001543145.1","none","Human blood","representative genome",119206,119206,"facultative anaerobe","facultative"
"RS_GCF_001543245.1",99.65,0.18,97.8,0.27,42.7504095227695,1831400,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinaehominis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Aerococcus","s__Aerococcus urinaehominis","Complete Genome","Sweden: Linkoping","GCA_001543245.1","none","Human urine","representative genome",128944,128944,"facultative anaerobe","facultative"
"RS_GCF_001466745.1",99.98,0.52,98.26,0,39.0167725990922,1589378,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus christensenii","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Aerococcus","s__Aerococcus christensenii","Contig","USA: Seattle","GCA_001466745.1","none","vagina","na",87541,525247,"facultative anaerobe","facultative"
"RS_GCF_900176325.1",97.94,0.39,98.9,0.27,36.4270639893719,1382195,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus suis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Aerococcus","s__Aerococcus suis","Scaffold","none","GCA_900176325.1","none","none","representative genome",371602,371602,"facultative anaerobe","facultative"
"RS_GCF_900100125.1",97.19,0.17,96.54,0,37.9086939694783,1759599,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Dolosicoccus;s__Dolosicoccus paucivorans","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Dolosicoccus","s__Dolosicoccus paucivorans","Contig","none","GCA_900100125.1","none","none","representative genome",84521,84521,"facultative anaerobe","facultative"
"RS_GCF_000428865.1",98.15,0.54,99.45,0,38.8102096742333,1869643,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Eremococcus;s__Eremococcus coleocola","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Eremococcus","s__Eremococcus coleocola","Scaffold","United Kingdom","GCA_000428865.1","none","none","na",88132,1121871,"facultative anaerobe","facultative"
"RS_GCF_900167405.1",98.95,0.11,97.83,0.47,35.5341429884983,2217574,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Globicatella;s__Globicatella sulfidifaciens","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Globicatella","s__Globicatella sulfidifaciens","Scaffold","none","GCA_900167405.1","none","none","representative genome",136093,1121925,"facultative anaerobe","facultative"
"RS_GCF_900110675.1",98.57,0.45,99.18,0.27,39.2637717220436,1958489,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Ignavigranum;s__Ignavigranum ruoffiae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Ignavigranum","s__Ignavigranum ruoffiae","Scaffold","none","GCA_900110675.1","none","none","na",89093,89093,"facultative anaerobe","facultative"
"RS_GCF_000820265.1",100,0.17,100,0,61.081781885399,4579196,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas caviae","Scaffold","none","GCA_000820265.2","none","none","na",648,648,"facultative anaerobe","facultative"
"RS_GCF_000014805.1",100,0.31,99.97,0,61.5484035234447,4744448,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas hydrophila","Complete Genome","none","GCA_000014805.1","none","none","representative genome",644,380703,"facultative anaerobe","facultative"
"RS_GCF_000819985.1",100,0.44,99.97,1.17,61.1455538035746,4484338,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas media","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas media","Scaffold","none","GCA_000819985.1","none","none","na",651,651,"facultative anaerobe","facultative"
"RS_GCF_000820365.1",100,0.19,98.83,0,58.9383129506514,4410797,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas veronii","Scaffold","none","GCA_000820365.1","none","none","na",654,654,"facultative anaerobe","facultative"
"RS_GCF_000819845.1",100,0,99.71,0,59.7008064675181,4474738,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas enteropelogenes","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas enteropelogenes","Scaffold","none","GCA_000819845.1","none","none","na",29489,29489,"facultative anaerobe","facultative"
"RS_GCF_020097295.1",100,0.07,100,0,59.9938757854476,4392400,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas enteropelogenes","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas enteropelogenes","Complete Genome","Germany: Braunschweig","GCA_020097295.1","none","none","representative genome",29489,29489,"facultative anaerobe","facultative"
"RS_GCF_000819785.1",100,0.12,99.97,0,61.7647454110007,4471402,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas caviae","Scaffold","none","GCA_000819785.1","none","none","na",648,648,"facultative anaerobe","facultative"
"RS_GCF_000819955.1",100,0.13,98.58,0.38,59.0896156073816,4500350,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas jandaei","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas jandaei","Scaffold","none","GCA_000819955.1","none","none","na",650,650,"facultative anaerobe","facultative"
"RS_GCF_000820285.1",100,0.27,99.71,0,58.8450325888568,4430813,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas veronii","Contig","none","GCA_000820285.1","none","none","na",654,654,"facultative anaerobe","facultative"
"RS_GCF_000819825.1",100,0.01,99.91,0,61.963389144048,4472527,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas encheleia","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas encheleia","Scaffold","none","GCA_000819825.1","none","none","na",73010,73010,"facultative anaerobe","facultative"
"RS_GCF_000447435.2",100,2.74,100,0.58,58.4772165830528,4767351,FALSE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas salmonicida","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas salmonicida","Contig","Argentina: Matanza River; Buenos Aires","GCA_000447435.2","none","extremely polluted river water","na",645,1324960,"facultative anaerobe","facultative"
"RS_GCF_000820125.1",100,0.01,100,0,61.3607138299648,3987694,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas simiae","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas simiae","Scaffold","none","GCA_000820125.1","none","none","na",218936,218936,"facultative anaerobe","facultative"
"RS_GCF_000388115.1",99.97,0.86,97.95,1.17,59.1766951806242,4236171,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas molluscorum","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas molluscorum","Contig","Spain","GCA_000388115.1","none","wedge-shells (Donax trunculus)","representative genome",271417,1268236,"facultative anaerobe","facultative"
"RS_GCF_000819865.1",100,0.02,99.97,0,61.1734469272905,4540059,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas eucrenophila","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Aeromonadaceae","g__Aeromonas","s__Aeromonas eucrenophila","Scaffold","none","GCA_000819865.1","none","none","representative genome",649,649,"facultative anaerobe","facultative"
