Accession,phylum,PF00115.25,PF00116.26,PF00199.24,PF00296.26,PF00510.24,PF01521.26,PF02678.22,PF03063.25,PF05726.19,PF08007.18,PF10371.14,PF13597.11,PF16901.10,PF17773.7,PF02579.22,PF02628.20,PF08530.16,PF01871.22,PF02906.19,PF09989.15,Oxygen2
GCA_003286915.1,Bacteroidota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
GCA_001270065.2,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0
GCA_002067135.1,Bacteroidota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_003352185.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_014192095.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_000196795.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
GCA_010723305.1,Actinomycetota,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
GCA_019339365.1,Pseudomonadota,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
GCA_000423445.1,Actinomycetota,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1
GCA_014635305.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_000372865.1,Pseudomonadota,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0
GCA_000970795.1,Bacillota,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
GCA_900142955.1,Bacillota,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1
GCA_000010565.1,Bacillota,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1
GCA_900100605.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_000474945.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_001642695.2,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_002993965.1,Bacillota,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
GCA_000473205.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_000380005.1,Bacillota,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
GCA_002287375.1,Bacillota,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
GCA_000238255.4,Pseudomonadota,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
GCA_003149745.1,Bacteroidota,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0
GCA_001651805.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0
GCA_003610355.1,Bacteroidota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_006335005.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_004310325.1,Bacteroidota,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0
GCA_000735345.1,Pseudomonadota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
GCA_000420025.1,Actinomycetota,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
GCA_004339675.1,Pseudomonadota,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
GCA_001654865.1,Pseudomonadota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
GCA_900155945.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0
GCA_000173775.1,Pseudomonadota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
GCA_900142005.1,Bacillota,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
GCA_900176035.1,Bacillota,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1
GCA_000735695.2,Bacteroidota,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
GCA_000374425.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
GCA_003236305.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_001642835.1,Bacteroidota,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
GCA_003208655.1,Bacteroidota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_001435815.1,Bacillota,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
GCA_018728565.1,Bacteroidota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_003148845.1,Bacteroidota,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
GCA_000009765.2,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_000420725.1,Bacillota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_003363155.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
GCA_900102015.1,Pseudomonadota,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
GCA_000768685.1,Actinomycetota,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
GCA_021403115.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
GCA_000730625.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0
GCA_001816125.1,Bacteroidota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_000734965.1,Pseudomonadota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
GCA_008086175.1,Bacteroidota,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
GCA_004564275.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_014203155.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1
GCA_002934265.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_020687805.1,Pseudomonadota,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_001078375.1,Bacillota,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1
GCA_002259745.1,Actinomycetota,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
GCA_001570565.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_010820565.1,Pseudomonadota,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1
GCA_000615805.1,Bacillota,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
GCA_013285155.1,Bacteroidota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0
GCA_001945605.1,Bacillota,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
GCA_001941485.1,Actinomycetota,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
GCA_002934625.1,Actinomycetota,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
GCA_014196525.1,Pseudomonadota,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_003171715.1,Pseudomonadota,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
GCA_900142235.1,Bacillota,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1
GCA_003568865.1,Actinomycetota,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
GCA_014642735.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
GCA_000224005.3,Pseudomonadota,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1
GCA_014652375.1,Pseudomonadota,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_900156415.1,Bacteroidota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_000378345.1,Pseudomonadota,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
GCA_004168285.1,Bacteroidota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_026810225.1,Bacillota,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1
GCA_923081025.1,Bacteroidota,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0
GCA_000494755.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
GCA_000590925.1,Pseudomonadota,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0
GCA_001436295.1,Bacillota,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
GCA_001434275.1,Bacillota,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
GCA_000377765.1,Bacillota,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0
GCA_000146285.1,Actinomycetota,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1
GCA_003054245.1,Bacillota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_022179065.1,Pseudomonadota,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
GCA_008831085.1,Actinomycetota,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
GCA_004345705.1,Bacillota,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1
GCA_007671675.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_016811235.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
GCA_002954685.1,Bacteroidota,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_900168195.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_003258705.1,Bacteroidota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
GCA_000768345.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
GCA_003236385.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_026183675.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
GCA_001435755.1,Bacillota,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
GCA_000023785.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_003269275.1,Bacillota,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1
GCA_000344155.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_004137345.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_003626895.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_000421845.1,Actinomycetota,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
GCA_003797835.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0
GCA_014138625.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_003096695.1,Bacteroidota,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
GCA_009299835.1,Actinomycetota,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_004761875.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0
GCA_001042905.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
GCA_004565465.1,Bacillota,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
GCA_900103535.1,Bacillota,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1
GCA_001975785.1,Bacillota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
GCA_000374105.1,Pseudomonadota,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
GCA_001857965.1,Bacteroidota,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0
GCA_003583365.1,Bacteroidota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_004681965.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_004331955.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
GCA_001676875.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0
GCA_900105255.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_004802635.2,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
GCA_014638845.1,Bacteroidota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
GCA_014652615.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_000812865.1,Bacteroidota,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
GCA_001507595.1,Pseudomonadota,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_003260205.1,Bacteroidota,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0
GCA_014235185.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_900100655.1,Pseudomonadota,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
GCA_900087055.1,Pseudomonadota,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
GCA_004360145.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
GCA_000427295.1,Bacteroidota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_003240585.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_000205025.1,Pseudomonadota,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
GCA_002148795.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
GCA_000308615.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_012932215.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_000379625.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_009900765.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_014646655.1,Bacteroidota,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0
GCA_001544655.2,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_003259935.1,Bacillota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
GCA_013377855.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0
GCA_000975115.1,Actinomycetota,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
GCA_004143605.1,Bacillota,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1
GCA_018141425.1,Bacillota,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1
GCA_900446215.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_900100455.1,Pseudomonadota,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1
GCA_010811875.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
GCA_000430885.1,Bacillota,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1
GCA_004364645.1,Actinomycetota,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
GCA_001439695.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
GCA_000218235.1,Bacteroidota,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1
GCA_000341065.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_000559025.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0
GCA_000714935.1,Bacillota,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_000166275.1,Bacteroidota,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_000422825.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_919592095.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_001655055.1,Pseudomonadota,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
GCA_002795865.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_001435315.1,Bacillota,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
GCA_009930795.1,Actinomycetota,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
GCA_000312445.1,Bacteroidota,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1
GCA_009749385.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_000969705.1,Actinomycetota,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0
GCA_016586355.1,Bacillota,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1
GCA_002356555.2,Pseudomonadota,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1
GCA_900109075.1,Bacteroidota,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
GCA_900116515.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_004345725.1,Pseudomonadota,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
GCA_000236035.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0
GCA_001043175.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_002950575.1,Actinomycetota,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
GCA_017908035.1,Bacteroidota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_000174015.1,Actinomycetota,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1
GCA_001746755.1,Pseudomonadota,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1
GCA_000325705.1,Bacteroidota,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
GCA_009828585.1,Pseudomonadota,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
GCA_004118155.1,Bacteroidota,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
GCA_000423105.1,Bacillota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
GCA_000308435.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_000189415.1,Bacteroidota,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
GCA_900107235.1,Pseudomonadota,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
GCA_000308455.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_000423285.1,Pseudomonadota,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0
GCA_000146325.1,Bacillota,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
GCA_004376175.1,Bacillota,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
GCA_025574465.1,Pseudomonadota,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_000172175.1,Bacteroidota,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1
GCA_009720655.1,Pseudomonadota,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
GCA_001594225.2,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_000188015.3,Bacillota,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
GCA_014642275.1,Bacteroidota,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
GCA_000334455.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_000308655.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_002938435.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
